EMPIAR ID,ManE (°),WMAnE (°),"PCC(V0, V1)","PCC(GT, V)","FSCR_0.143(V0, V1) (A)","FSCR_0.5(V0, V1) (A)","FSCR_0.143(GT, V) (A)","FSCR_0.5(GT, V) (A)","FSCR_0.143(GT0, GT1) (A)","FSCR_0.5(GT0, GT1) (A)","PCC(GT0, GT1)"
10166,15.7,9.1,0.986,0.974,5.1,6.8,6.2,8.1,4.4,4.8,0.992
10786,32.6,29.5,0.957,0.925,3.8,4.3,3.4,7.6,3.1,3.5,0.974
10280,17.8,14.9,0.981,0.957,3.9,4.4,4.3,7,3.4,3.8,0.991
11120,44.7,41.1,0.989,0.863,4.1,4.6,6,8.3,3.2,3.7,0.965
10409,45.3,39.2,0.96,0.884,3.5,4,4,8.3,3,3.3,0.988
10374,35,24.8,0.991,0.969,3.7,4.1,4.1,6.5,3,3.5,0.996
10399,25.5,21.6,0.992,0.917,3.7,4.1,4,6.1,3.1,3.4,0.996
10648,13.3,10.6,0.982,0.934,3.8,4.1,4.3,6.5,3.4,3.6,0.994
simulated 10648,6,NA,0.996,0.935,4.5,4.6,4.6,4.8,3.5,4.6,0.998
consensus 10648,8.3,8.1,0.971,0.893,3.8,4.1,4.2,6.8,3.4,3.6,0.986
